10:48:28.343 [main] INFO  n.e.JournalApp.JournalApplication - Starting JournalApplication using Java 17.0.16 on priyanshu with PID 10284 (C:\Users\lenovo\Downloads\JournalApp\JournalApp\target\classes started by lenovo in C:\Users\lenovo\Downloads\JournalApp\JournalApp)
10:48:28.356 [main] INFO  n.e.JournalApp.JournalApplication - The following 1 profile is active: "dev"
10:48:29.806 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
10:48:29.922 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 105 ms. Found 3 MongoDB repository interfaces.
10:48:30.661 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
10:48:30.672 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
10:48:30.675 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:48:30.675 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
10:48:30.765 [main] INFO  o.a.c.c.C.[.[localhost].[/_journal] - Initializing Spring embedded WebApplicationContext
10:48:30.766 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2325 ms
10:48:31.054 [cluster-ClusterId{value='6a68cf4f56519a1c9e51475e', description='null'}-srv-cluster0.00beyc0.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017 to client view of cluster
