10:42:55.287 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.JournalApp.service.EmailServiceTests], using SpringBootContextLoader
10:42:55.320 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.JournalApp.service.EmailServiceTests]: no resource found for suffixes {-context.xml, Context.groovy}.
10:42:55.322 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.JournalApp.service.EmailServiceTests]: EmailServiceTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:42:55.630 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.JournalApp.JournalApplication for test class net.engineeringdigest.JournalApp.service.EmailServiceTests
10:42:56.008 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
10:42:56.048 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3dddefd8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@160ac7fb, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@12bfd80d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@41925502, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@13e3c1c7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5316e95f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3f053c80, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6c6c5427, org.springframework.test.context.event.EventPublishingTestExecutionListener@618c5d94, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5b40ceb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13c3c1e1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d8062d2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e63ec0b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3b956878, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@36546a22]
10:42:56.961 [main] INFO  n.e.J.service.EmailServiceTests - Starting EmailServiceTests using Java 17.0.16 on priyanshu with PID 876 (started by lenovo in C:\Users\lenovo\Downloads\JournalApp\JournalApp)
10:42:56.964 [main] INFO  n.e.J.service.EmailServiceTests - The following 1 profile is active: "dev"
10:42:58.558 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
10:42:58.677 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 110 ms. Found 3 MongoDB repository interfaces.
