10:40:58.769 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6f8f9349, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75c9e76b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7446d8d5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5c3b6c6e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4fbda97b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@75f5fd58, org.springframework.test.context.transaction.TransactionalTestExecutionListener@37b70343, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@306851c7, org.springframework.test.context.event.EventPublishingTestExecutionListener@12bcd0c0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4879f0f2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@47db5fa5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@354fc8f0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41813449, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4678a2eb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5b43fbf6]
10:41:11.060 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:253087}] to ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017
10:41:11.062 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=539816800, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a5f9802ada197b50e3a78d6, counter=4}, lastWriteDate=Sat Jul 25 23:59:12 COT 2026, lastUpdateTimeNanos=136959983425299}
10:41:11.062 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=539810800, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a5f98c08cc19f76cddc812f, counter=3}, lastWriteDate=Sat Jul 25 23:59:12 COT 2026, lastUpdateTimeNanos=136959981504500}
10:41:11.061 [cluster-rtt-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:253099}] to ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017
10:41:11.060 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:263810}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:41:11.065 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=537394100, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000002e5, setVersion=219, topologyVersion=TopologyVersion{processId=6a5f9861c2750d6f913df464, counter=6}, lastWriteDate=Sat Jul 25 23:59:12 COT 2026, lastUpdateTimeNanos=136959981018600}
10:41:11.074 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff00000000000002e5 from replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:41:11.075 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 219 from replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:41:11.076 [cluster-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:41:11.086 [cluster-rtt-ClusterId{value='6a662a9445e17b2ee67aaf45', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:263810}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:41:12.566 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:263780}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:41:15.433 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4b5ad306, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54be6213, org.springframework.security.web.context.SecurityContextPersistenceFilter@7c7ed72a, org.springframework.security.web.header.HeaderWriterFilter@5b7308aa, org.springframework.security.web.authentication.logout.LogoutFilter@3ea48c37, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5e0f2c82, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3c17bd0b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6ce15112, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@48a46b0f, org.springframework.security.web.session.SessionManagementFilter@2a1e57c6, org.springframework.security.web.access.ExceptionTranslationFilter@25de8898, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@71e2c6d8]
10:41:18.481 [main] INFO  n.e.J.r.UserRepositoryImplTests - Started UserRepositoryImplTests in 16.101 seconds (JVM running for 22.145)
